math_score,science_score,english_score,assignment_score,attendance_percentage,study_hours_per_week,previous_gpa,participation_level,performance_category
79,43,68,55,98,34,6.24,High,Medium
59,82,57,94,80,17,6.74,Medium,Medium
80,77,32,58,78,9,9.48,Low,Medium
92,98,99,90,54,29,9.83,Medium,Low
81,91,56,57,74,24,7.22,Medium,Medium
67,95,31,91,90,22,6.6,High,Medium
59,93,67,55,80,22,7.63,High,Medium
80,99,32,47,70,6,8.44,High,Medium
34,92,45,99,69,14,6.37,Medium,Medium
58,62,69,72,88,16,8.68,Medium,Medium
33,70,31,88,71,17,5.26,Low,Medium
39,77,70,51,53,15,5.25,Medium,Low
85,42,41,92,62,23,6.93,Low,Medium
46,60,64,50,94,39,6.77,High,Medium
46,97,94,44,91,30,6.58,High,Medium
98,33,84,66,99,18,7.46,High,Medium
63,48,74,51,98,28,6.6,Low,Medium
35,99,91,56,69,5,5.96,Medium,Medium
82,42,78,45,62,26,6.55,High,Medium
95,52,54,72,66,27,9.87,Medium,Medium
72,30,52,44,85,23,7.06,Medium,Low
52,83,53,96,82,22,7.22,High,Medium
84,44,67,67,50,16,7.88,Low,Low
45,94,57,53,64,32,9.92,Medium,Medium
37,44,50,44,62,32,6.21,High,Low
33,50,83,93,66,37,8.41,Medium,Medium
33,48,47,95,73,23,8.58,Medium,Medium
85,89,65,98,57,32,8.04,Medium,Low
54,62,74,72,99,30,5.44,Medium,Medium
96,78,82,89,76,39,8.38,Medium,High
96,64,59,87,94,38,5.32,Low,High
56,73,89,80,72,39,7.98,Low,Medium
61,40,61,58,95,20,8.7,High,Medium
79,95,96,61,57,17,6.05,Low,Low
90,75,96,44,57,27,9.21,Low,Low
80,38,57,98,75,26,5.15,Low,Medium
48,32,73,41,96,20,9.22,Medium,Low
50,55,70,69,62,32,7.3,Medium,Medium
34,77,92,86,88,39,6.09,High,Medium
71,95,52,78,86,12,5.67,High,Medium
90,99,77,43,98,26,9.77,High,High
51,57,61,72,77,25,5.36,Medium,Medium
50,55,86,52,74,30,6.0,Low,Medium
99,54,62,59,65,25,6.74,Low,Medium
30,41,53,93,51,29,8.1,Medium,Low
34,34,68,46,67,5,7.72,High,Low
41,77,63,54,66,10,5.63,High,Medium
75,66,85,62,79,27,6.45,High,Medium
63,73,57,53,88,27,6.19,Medium,Medium
78,44,66,62,62,27,6.07,High,Medium
74,72,36,58,81,36,7.06,High,Medium
56,77,97,93,99,34,8.52,Medium,High
55,99,66,68,78,17,6.09,Low,Medium
76,75,85,95,95,22,6.83,Medium,High
85,72,94,59,79,27,6.95,Medium,High
92,50,94,68,67,19,9.88,Medium,High
77,52,76,63,62,37,9.77,Medium,Medium
90,76,49,57,92,25,9.0,Low,Medium
55,44,48,49,70,27,6.21,High,Low
65,54,58,80,79,31,5.34,Medium,Medium
30,65,89,96,70,22,6.58,Low,Medium
37,80,47,47,97,28,6.33,High,Medium
81,44,64,65,66,11,7.53,High,Medium
76,97,72,68,89,24,8.89,High,High
85,50,40,49,68,31,9.29,Medium,Medium
43,42,78,56,64,10,9.22,Medium,Medium
57,48,67,41,58,31,6.8,High,Low
31,63,93,45,59,13,8.44,High,Low
55,97,98,97,93,35,6.56,High,High
43,81,37,44,80,25,5.3,High,Medium
88,56,63,67,72,30,8.51,High,Medium
85,58,77,80,79,17,5.05,High,High
36,57,85,44,82,27,7.05,Low,Medium
32,64,94,57,58,24,6.65,High,Low
52,37,60,65,96,32,8.47,Medium,Medium
47,45,33,59,50,21,8.83,Medium,Low
67,65,79,80,93,32,6.52,Medium,Medium
44,59,98,88,84,6,9.06,High,Medium
93,47,59,66,60,29,6.47,Medium,Medium
57,31,88,88,83,10,7.23,Low,Medium
68,78,96,51,65,15,8.64,High,Medium
86,33,74,46,58,10,8.46,Medium,Low
46,36,33,98,81,15,9.94,Low,Medium
73,68,55,42,64,18,6.13,Low,Medium
54,42,56,49,61,6,8.31,Medium,Medium
46,60,75,73,82,7,8.05,Low,Medium
42,92,93,64,94,39,9.58,Medium,Medium
54,85,80,74,63,37,5.78,Low,Medium
97,71,79,55,57,28,8.76,High,Low
39,90,35,41,57,23,7.84,High,Low
96,71,88,99,76,22,6.37,High,High
47,85,44,63,61,28,7.37,High,Medium
63,65,59,49,50,39,6.67,High,Low
37,97,71,77,92,5,7.9,Medium,Medium
69,36,66,61,89,29,9.45,High,Medium
71,83,71,65,91,38,7.85,High,Medium
70,30,64,82,60,29,8.16,High,Medium
35,73,35,94,88,20,7.59,High,Medium
81,74,97,78,92,38,5.26,Low,High
55,76,47,66,80,33,6.16,High,Medium
93,42,58,68,66,23,7.46,High,Medium
88,51,88,86,82,27,6.55,Medium,High
85,50,76,77,81,23,5.91,Low,Medium
88,38,46,59,78,29,7.52,Medium,Medium
99,55,51,66,70,20,6.61,High,Medium
62,38,97,80,70,13,6.29,Medium,Medium
82,44,98,93,89,5,7.32,Medium,High
51,39,66,59,72,23,5.67,High,Medium
50,71,78,83,55,37,9.64,Low,Low
99,53,42,58,71,38,9.34,Low,Medium
99,78,63,59,99,20,8.54,Medium,Medium
33,55,82,74,87,22,5.53,High,Medium
91,66,80,86,86,38,8.88,Medium,High
91,97,32,41,94,29,9.04,Medium,Medium
53,79,71,69,57,10,8.84,Medium,Low
84,53,61,92,90,25,5.57,High,Medium
38,48,80,73,98,10,8.22,High,Medium
32,89,75,61,84,36,9.17,Low,Medium
60,68,50,42,60,35,7.89,High,Medium
69,47,73,45,73,14,8.23,Medium,Medium
65,48,40,54,98,34,7.29,Medium,Medium
53,65,97,66,70,22,7.64,Low,Medium
35,84,30,49,51,28,5.17,High,Low
95,98,92,48,89,13,8.19,Medium,High
33,76,53,72,68,35,5.41,Low,Medium
35,78,42,71,88,19,7.18,Low,Medium
80,62,40,87,77,8,6.46,Medium,Medium
91,50,80,45,66,13,7.73,Medium,Medium
86,51,46,80,55,13,5.67,High,Low
95,77,53,98,68,30,8.46,Low,High
37,66,48,75,87,8,8.98,Medium,Medium
55,44,66,98,77,21,5.82,Low,Medium
80,64,37,99,51,20,5.52,High,Low
74,61,57,41,87,19,5.73,Medium,Medium
73,40,34,68,86,39,9.39,High,Medium
34,39,46,43,53,9,7.64,Low,Low
99,86,65,40,71,9,7.34,High,Medium
55,54,48,58,75,24,5.53,High,Medium
97,31,93,65,98,19,8.25,Low,Medium
48,93,40,64,92,22,9.34,High,Medium
49,64,83,49,85,6,9.14,Low,Medium
41,36,74,92,62,33,8.13,Medium,Medium
76,47,76,54,81,17,5.38,Low,Medium
30,96,41,98,66,8,5.56,Low,Medium
43,71,50,61,90,14,5.25,Medium,Medium
93,68,40,90,85,35,6.29,Low,Medium
67,70,34,87,95,12,5.68,Medium,Medium
66,53,85,60,68,7,6.3,Medium,Medium
40,89,49,98,84,13,6.93,Low,Medium
32,75,70,95,95,34,9.71,High,Medium
62,48,75,61,89,15,8.05,High,Medium
35,97,41,75,77,39,9.17,Medium,Medium
79,71,99,73,50,17,8.55,High,Low
39,61,46,69,91,17,5.56,High,Medium
34,68,48,64,67,16,8.68,Low,Medium
52,65,55,84,97,14,6.38,Medium,Medium
39,65,77,67,89,13,8.2,Medium,Medium
73,32,81,40,82,11,6.7,Low,Medium
31,37,99,88,61,6,9.99,High,Medium
42,99,84,84,57,27,6.32,Medium,Low
69,70,62,43,73,25,6.4,High,Medium
31,97,91,46,65,27,9.65,Medium,Medium
94,42,52,88,99,33,5.12,Medium,Medium
92,78,44,48,53,18,8.48,Medium,Low
46,89,56,75,87,30,8.63,Medium,Medium
38,31,93,58,93,9,9.18,High,Medium
44,89,80,40,76,35,9.87,High,Medium
53,34,82,49,58,29,9.88,High,Low
67,73,80,75,96,35,5.33,High,Medium
64,56,76,48,65,24,9.11,Low,Medium
78,61,33,84,61,21,8.23,Medium,Medium
98,50,36,85,80,6,8.24,Medium,Medium
91,37,64,81,73,29,5.64,Medium,Medium
89,79,77,71,63,17,8.25,Low,High
79,96,74,71,94,32,9.91,High,High
38,73,48,45,74,10,9.56,Medium,Medium
63,87,92,87,83,7,7.2,High,High
64,32,67,77,52,39,5.2,High,Low
30,99,96,56,73,22,6.81,Low,Medium
69,31,88,49,91,15,9.13,Low,Medium
93,73,98,89,58,24,8.51,High,Low
51,31,42,66,75,9,7.3,Medium,Low
89,64,76,93,69,23,5.28,Medium,High
93,59,90,89,89,26,7.13,Low,High
40,37,60,74,59,23,7.35,Low,Low
43,51,51,91,68,20,9.64,Low,Medium
89,73,72,98,52,28,8.21,Low,Low
59,87,96,60,73,8,6.56,Low,High
64,65,83,64,54,19,7.63,Low,Low
66,98,39,67,52,29,5.33,Low,Low
34,60,71,86,76,39,9.86,Medium,Medium
55,76,93,54,65,18,6.8,Low,Medium
91,84,50,43,98,23,7.39,Low,Medium
33,91,95,68,64,11,6.78,Medium,Medium
71,59,70,98,84,34,8.41,Medium,Medium
47,84,53,48,61,23,8.31,High,Medium
69,45,64,66,90,29,8.58,Low,Medium
68,41,85,65,93,20,6.34,Low,Medium
43,46,59,58,75,12,6.58,Low,Medium
61,45,86,95,96,22,5.63,Low,Medium
80,41,76,67,83,32,8.28,High,Medium
67,37,64,56,72,20,5.2,Medium,Medium
52,32,48,82,80,23,7.99,Medium,Medium
92,45,37,96,99,21,9.35,Low,Medium
44,59,55,80,69,17,9.45,Low,Medium
54,52,59,81,61,11,7.25,Low,Medium
46,34,36,89,72,31,7.3,High,Medium
95,94,96,59,53,14,5.38,High,Low
82,59,94,84,72,38,8.35,Medium,High
80,50,65,79,97,29,9.11,Low,Medium
68,99,54,78,97,10,6.22,Low,Medium
80,51,66,88,50,28,7.11,Low,Low
99,61,30,92,74,22,9.19,Low,Medium
35,62,44,62,51,27,9.39,High,Low
96,45,66,86,79,10,6.22,Medium,Medium
36,67,42,71,52,33,7.75,Medium,Low
80,43,37,91,70,29,5.96,High,Medium
71,65,34,86,74,21,5.51,Low,Medium
93,52,89,72,69,28,9.56,Medium,High
44,95,30,96,98,15,9.1,Medium,Medium
58,31,65,85,71,30,8.8,High,Medium
62,94,64,44,70,38,5.24,Low,Medium
56,96,95,82,82,32,9.22,Medium,High
65,81,92,87,87,7,7.19,Low,High
58,91,52,73,64,15,6.71,Medium,Medium
67,52,38,79,95,18,7.73,High,Medium
86,55,63,50,64,30,5.46,Low,Medium
56,97,75,89,95,25,8.78,High,High
84,84,33,42,74,34,7.91,Medium,Medium
62,35,59,97,70,12,5.93,High,Medium
97,64,32,72,73,24,5.94,High,Medium
95,51,43,50,54,36,5.92,High,Low
39,72,89,55,55,26,5.29,Medium,Low
34,44,74,57,98,11,7.94,Low,Medium
67,89,63,69,92,13,9.2,High,Medium
42,41,74,87,97,5,5.09,Low,Medium
60,78,90,94,93,33,5.25,Medium,High
76,71,45,49,96,12,7.86,Low,Medium
81,67,95,57,72,8,9.1,High,High
85,74,69,77,53,39,6.63,High,Low
44,64,46,58,76,7,6.75,High,Medium
58,59,63,75,67,11,7.98,High,Medium
37,59,45,98,70,31,6.37,High,Medium
34,35,89,52,77,5,5.13,High,Medium
58,96,95,95,84,31,8.68,Medium,High
76,36,95,85,71,20,8.13,Medium,Medium
97,81,42,42,89,11,7.9,Medium,Medium
74,43,85,49,72,27,8.71,Low,Medium
31,44,60,77,52,15,8.38,Low,Low
56,50,63,40,89,37,6.03,Medium,Medium
65,64,68,94,99,21,6.76,Low,Medium
65,95,96,95,59,39,5.63,Low,Low
55,31,37,66,74,9,5.65,High,Low
72,64,84,85,98,36,8.38,High,High
56,49,56,47,57,7,9.29,Low,Low
98,39,82,90,60,39,9.81,Low,High
49,54,68,85,54,18,8.14,Medium,Low
40,95,94,81,94,35,5.92,Low,High
67,54,46,56,86,35,5.53,High,Medium
35,83,59,48,94,21,9.06,Low,Medium
52,62,82,45,87,28,7.89,Medium,Medium
76,65,42,82,78,27,8.09,High,Medium
75,43,50,64,54,22,8.91,High,Low
41,94,48,78,58,18,8.52,High,Low
42,83,82,88,97,19,9.17,High,Medium
91,81,48,99,51,19,5.28,Low,Low
89,32,86,67,50,10,8.74,Medium,Low
72,70,54,72,89,31,9.25,Low,Medium
97,35,60,93,79,19,6.43,Low,Medium
34,54,84,76,60,12,8.2,High,Medium
66,42,52,48,77,19,6.57,Medium,Medium
60,37,61,57,93,7,9.79,High,Medium
38,50,91,95,61,17,5.17,Low,Medium
80,97,39,98,88,38,7.9,Low,High
58,54,83,60,75,28,5.83,High,Medium
69,97,81,41,62,36,8.56,Low,Medium
70,74,49,97,57,36,5.88,Low,Low
40,89,61,82,77,34,6.18,High,Medium
52,41,43,98,79,17,7.47,Low,Medium
30,61,79,99,58,5,9.57,Medium,Low
75,42,57,77,88,38,6.06,High,Medium
50,60,82,97,80,19,5.72,Medium,Medium
65,49,53,79,70,18,8.79,Low,Medium
83,47,51,75,96,33,7.5,Low,Medium
86,89,59,89,83,38,9.56,High,High
30,92,92,99,80,22,5.73,Low,High
92,35,33,82,74,11,8.23,High,Medium
83,61,88,76,61,33,6.16,High,High
84,72,37,54,50,35,5.78,High,Low
69,31,41,67,71,29,8.42,High,Medium
44,89,60,57,89,18,7.97,High,Medium
50,52,63,73,86,12,8.77,Medium,Medium
76,60,78,61,96,31,6.55,High,Medium
82,34,86,50,50,6,7.24,Medium,Low
38,63,55,97,50,21,7.03,Low,Low
81,39,47,96,91,18,9.92,High,Medium
86,31,67,52,91,29,6.46,Low,Medium
55,40,79,43,70,34,6.47,High,Medium
70,79,37,61,64,33,6.77,Medium,Medium
64,60,70,46,66,24,7.82,Medium,Medium
92,85,35,82,71,25,6.26,Medium,Medium
54,38,98,93,87,26,9.58,Low,Medium
67,50,73,63,84,39,6.33,High,Medium
31,57,93,43,94,20,9.48,Low,Medium
36,91,58,67,65,21,5.52,Medium,Medium
63,36,57,54,57,20,8.28,Low,Low
46,45,40,40,96,6,9.53,Medium,Low
72,33,94,94,66,8,5.84,Medium,Medium
88,33,48,42,66,25,9.84,Medium,Medium
80,69,38,53,75,38,7.26,High,Medium
83,46,56,77,62,34,9.73,High,Medium
53,81,63,89,66,10,8.38,Medium,Medium
54,81,73,96,87,21,6.51,Low,High
81,65,97,40,66,29,5.94,Low,Medium
99,67,44,77,97,9,6.52,High,Medium
62,79,80,77,63,9,5.47,Medium,Medium
78,92,42,60,94,24,5.72,Low,Medium
58,92,78,87,55,20,5.52,Medium,Low
92,91,99,68,84,13,7.11,Low,High
51,36,85,44,95,9,8.98,High,Medium
55,56,80,88,63,6,5.71,Medium,Medium
57,43,66,49,96,13,5.65,Medium,Medium
78,34,46,67,57,26,8.22,Low,Low
78,84,87,60,64,26,5.99,Low,High
49,31,58,89,76,26,5.49,Low,Medium
92,91,62,46,62,38,5.83,Medium,Medium
90,50,89,42,98,33,9.62,High,Medium
78,50,84,84,80,37,9.11,High,Medium
30,39,39,86,84,22,6.77,Low,Low
42,87,76,59,55,11,8.28,High,Low
80,68,52,58,54,5,7.69,Low,Low
85,34,50,74,71,37,8.39,High,Medium
91,94,42,43,98,5,8.41,Medium,Medium
61,42,62,44,72,28,8.14,Low,Medium
59,82,53,40,74,8,6.33,High,Medium
58,74,40,43,83,8,5.2,Medium,Medium
78,61,46,51,75,22,7.28,High,Medium
74,65,97,99,96,31,9.45,Medium,High
59,89,76,66,54,36,7.85,Medium,Low
45,40,54,95,75,37,9.16,High,Medium
69,92,50,81,69,32,9.96,High,Medium
48,50,41,62,55,10,5.82,Medium,Low
47,81,66,64,55,20,8.46,Medium,Low
30,84,71,60,99,38,8.37,Medium,Medium
76,55,46,97,67,27,9.9,Low,Medium
95,97,77,91,53,28,9.93,Medium,Low
67,63,57,63,66,17,8.43,Low,Medium
80,81,70,64,63,22,6.22,Medium,Medium
92,81,76,84,63,17,8.99,Low,High
33,58,47,94,62,21,5.54,Medium,Medium
30,67,42,85,56,19,8.9,Medium,Low
37,71,42,71,93,22,9.55,Medium,Medium
58,50,60,94,64,27,6.91,High,Medium
84,71,31,71,68,34,8.15,High,Medium
32,42,45,44,92,38,7.15,Medium,Low
61,93,38,75,96,8,7.19,Low,Medium
39,46,67,85,93,7,6.55,Low,Medium
63,38,83,81,84,11,8.81,Medium,Medium
84,70,85,88,66,22,9.68,High,High
61,30,74,81,84,11,9.7,Low,Medium
79,31,63,97,68,10,5.87,High,Medium
36,89,38,78,69,26,9.37,Low,Medium
37,77,37,55,85,5,8.69,Medium,Medium
94,58,36,72,84,8,6.26,High,Medium
86,39,65,88,81,33,5.34,Low,Medium
96,87,47,60,97,25,6.34,Medium,Medium
88,89,32,48,93,30,9.56,Medium,Medium
83,50,57,45,89,18,8.17,Medium,Medium
96,57,99,90,73,13,8.61,High,High
80,63,73,84,66,16,6.29,High,High
37,37,50,74,56,10,8.6,Medium,Low
63,88,57,78,92,24,5.14,High,Medium
64,78,83,61,99,28,6.88,Low,Medium
61,46,83,80,50,31,8.13,Medium,Low
75,89,94,93,84,12,5.73,Medium,High
45,74,50,44,81,5,9.12,High,Medium
97,98,42,81,85,28,6.18,Medium,High
66,61,86,62,62,11,8.26,Low,Medium
83,73,78,56,55,23,7.03,High,Low
43,94,83,51,63,26,7.98,High,Medium
84,37,39,62,86,39,5.54,Medium,Medium
77,72,82,55,97,34,5.08,Medium,Medium
36,30,73,42,64,33,9.55,Medium,Low
